Timestamp,What is your gender?,What is your marital status?,Have you ever failed an academic course/module at university?,"How satisfied are you with your learning environment at the Faculty?
",Are you satisfied with your home environment for studying?,What is your Age?,What is your Academic Year?,What is your degree programme.,Competition with my peers for grades is quite intense,I feel my lecturers are very strict and often point out mistakes in my work,My lecturers expect more from me than I can realistically do.,The unrealistic expectations of my parents stress me out.,"The time allocated for lectures, laboratory sessions, and independent study is enough for me to manage my academic workload effectively.  ",The size of the curriculum (workload) is excessive.,I believe that the amount of work assignments is too much.,I am unable to catch up if I fall behind in my work.,I have enough time to relax after completing my academic work. ,The examination questions are usually difficult.,The allocated examination duration is too short for me to complete my answers properly.,Examination periods are very stressful to me.,I am confident that I will be a successful student. ,I am confident that I will be successful in my future career. ,I find it easy to make academic decisions. ,I fear failing courses/modules this year.,I think that my worry about examinations is weakness of character.,"Even if I pass my exams, I am worried about getting a job"
2/10/2026 16:00:39,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 2,,2,3,3,4,2,5,4,4,4,2,5,4,1,2,1,3,4,4
2/10/2026 16:00:39,Female,• Single,• Once or twice,Neither satisfied nor dissatisfied,• Yes,• 22–23,• Year 2,,2,1,1,5,1,2,1,1,5,1,1,1,1,1,1,1,1,1
2/10/2026 16:00:44,Male,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 2,,2,4,1,2,3,3,4,4,3,4,2,2,2,2,3,4,4,3
2/10/2026 16:00:46,Female,• Single,• Once or twice,Satisfied,• Yes,• 20–21,• Year 2,,1,2,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4
2/10/2026 16:00:49,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 2,,2,5,5,5,2,2,3,3,2,2,2,2,1,1,1,3,3,3
2/10/2026 16:00:53,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 2,,2,3,3,4,4,3,3,3,4,4,3,3,3,2,3,2,3,3
2/10/2026 16:00:54,Female,• Single,• Never,Very dissatisfied,• Yes,• 20–21,• Year 2,,3,3,1,4,3,1,1,1,4,5,3,3,3,3,4,3,3,3
2/10/2026 16:01:02,Male,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 2,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/10/2026 16:01:04,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 2,,3,4,2,3,2,2,3,3,2,3,3,2,2,2,2,3,4,4
2/10/2026 16:01:05,Female,• Single,• Never,Very dissatisfied,• Yes,• 20–21,• Year 2,,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3
2/10/2026 16:01:07,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 2,,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3
2/10/2026 16:01:07,Male,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 2,,4,4,4,4,4,4,4,4,3,4,3,1,3,3,2,2,2,2
2/10/2026 16:01:09,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 22–23,• Year 2,,2,4,3,4,5,2,2,3,3,3,4,5,3,3,2,1,3,1
2/10/2026 16:01:09,Female,• Single,• Never,Very satisfied,• Yes,• 22–23,• Year 2,,1,2,3,5,2,1,2,1,2,2,3,3,1,2,3,2,2,2
2/10/2026 16:01:12,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 2,,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2/10/2026 16:01:19,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 22–23,• Year 2,,2,2,2,2,2,2,2,3,3,4,5,3,3,2,3,2,2,2
2/10/2026 16:01:30,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 2,,3,4,5,5,2,3,3,3,4,3,3,2,2,2,3,3,3,4
2/10/2026 16:01:32,Male,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 2,,3,2,1,3,3,1,1,1,5,1,2,1,3,1,3,1,1,1
2/10/2026 16:01:35,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 2,,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3
2/10/2026 16:01:39,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 2,,1,5,3,5,5,5,3,1,3,1,1,1,3,4,5,5,4,4
2/10/2026 16:01:44,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 2,,3,4,4,3,3,2,3,3,5,1,3,1,2,2,4,3,3,3
2/10/2026 16:01:53,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 2,,1,2,3,3,2,2,3,3,3,2,3,2,3,3,2,3,3,2
2/10/2026 16:01:54,Male,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 20–21,• Year 2,,2,2,3,4,4,3,3,2,4,2,3,2,2,2,3,2,3,2
2/10/2026 16:01:56,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 2,,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2/10/2026 16:01:57,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 2,,3,3,2,4,4,3,2,3,4,1,2,1,2,1,3,2,1,2
2/10/2026 16:01:58,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 2,,1,2,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3
2/10/2026 16:02:01,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 2,,3,4,5,5,1,5,5,3,3,2,3,3,2,2,2,3,3,2
2/10/2026 16:02:07,Female,• Single,• Never,Satisfied,• Yes,• 20–21,• Year 2,,3,3,3,2,1,3,3,2,1,3,4,4,2,2,3,2,4,2
2/10/2026 16:02:08,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 2,,2,3,3,3,3,4,3,4,2,3,3,3,3,3,3,4,3,2
