F1,F2,F3,F4,gender,marital_status,academic_year,academic_failure,age_group,degree_program,faculty_environment,home_environment
4.666666666666667,4.0,3.0,3.5,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Neither satisfied nor dissatisfied,Yes
4.166666666666667,4.0,2.25,5.0,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Administration,Neither satisfied nor dissatisfied,Yes
3.0,3.0,2.5,3.0,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Neither satisfied nor dissatisfied,Yes
3.0,3.0,2.0,3.0,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.0,3.0,3.0,2.5,Male,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.0,2.6666666666666665,2.0,2.0,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
2.8333333333333335,3.0,2.25,3.0,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
2.1666666666666665,3.3333333333333335,1.75,3.0,Male,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Very satisfied,No
3.0,2.3333333333333335,3.0,3.0,Male,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
4.666666666666667,3.0,1.5,4.5,Female,Single,Year 4,Never,24-25,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.1666666666666665,3.0,2.25,2.0,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Very satisfied,Yes
4.166666666666667,3.6666666666666665,1.0,4.0,Female,Single,Year 4,Never,26 and above,B.B.A. (Hons) in Business Economics,Satisfied,Yes
4.0,4.666666666666667,2.5,3.5,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
4.166666666666667,4.0,2.25,4.5,Female,Single,Year 4,Once or twice,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.6666666666666665,3.3333333333333335,2.25,3.5,Female,Single,Year 4,Never,24-25,B.B.A. (Hons) in Business Economics,Neither satisfied nor dissatisfied,Yes
3.1666666666666665,4.666666666666667,1.5,3.5,Female,Single,Year 4,Once or twice,24-25,B.B.A. (Hons) in Business Economics,Very satisfied,Yes
2.6666666666666665,2.0,2.0,3.5,Male,Single,Year 4,Never,24-25,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.8333333333333335,5.0,2.5,5.0,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
4.0,4.0,1.75,3.0,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.0,3.3333333333333335,2.75,2.5,Female,Single,Year 4,Once or twice,22-23,B.B.A. (Hons) in Finance,Satisfied,Yes
4.166666666666667,3.0,2.0,4.0,Male,Single,Year 4,Never,24-25,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.8333333333333335,4.0,2.25,4.0,Male,Single,Year 3,Never,24-25,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.8333333333333335,3.6666666666666665,2.25,5.0,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
2.8333333333333335,4.0,2.0,2.5,Female,Single,Year 4,Once or twice,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
4.5,4.0,1.75,4.5,Male,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Satisfied,No
3.5,3.0,2.5,3.0,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.5,3.0,2.75,2.0,Female,Single,Year 4,Once or twice,24-25,B.B.A. (Hons) in Business Economics,Satisfied,No
3.5,3.6666666666666665,2.75,3.5,Male,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.1666666666666665,2.0,1.5,2.5,Male,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
1.6666666666666667,1.0,4.25,2.0,Male,Single,Year 4,Never,20-21,B.B.A. (Hons) in Finance,Very satisfied,No
3.0,3.3333333333333335,1.75,4.0,Male,Single,Year 2,Never,22-23,,Very satisfied,Yes
4.166666666666667,4.0,2.0,4.5,Male,Single,Year 2,Never,22-23,,Satisfied,Yes
3.0,3.0,3.0,3.0,Female,Single,Year 2,Never,22-23,,Neither satisfied nor dissatisfied,Yes
2.0,2.3333333333333335,4.0,2.5,Male,Single,Year 2,Never,22-23,,Satisfied,No
2.5,3.0,2.75,3.5,Male,Single,Year 2,Once or twice,20-21,,Neither satisfied nor dissatisfied,Yes
4.0,4.666666666666667,1.25,3.5,Female,Single,Year 2,Never,20-21,,Satisfied,Yes
3.1666666666666665,2.3333333333333335,2.5,3.0,Female,Single,Year 2,Never,20-21,,Neither satisfied nor dissatisfied,Yes
3.0,2.6666666666666665,3.25,4.0,Female,Single,Year 2,Never,20-21,,Satisfied,Yes
3.3333333333333335,3.6666666666666665,3.75,3.0,Female,Single,Year 2,Never,22-23,,Very dissatisfied,Yes
3.5,2.0,1.5,1.5,Female,Single,Year 2,Never,20-21,,Satisfied,Yes
3.1666666666666665,3.6666666666666665,1.25,3.0,Female,Single,Year 2,Never,22-23,,Dissatisfied,Yes
2.6666666666666665,3.0,3.5,3.0,Female,Single,Year 2,Never,22-23,,Dissatisfied,Yes
3.1666666666666665,3.0,3.0,3.0,Female,Single,Year 2,Never,22-23,,Very satisfied,Yes
3.3333333333333335,3.0,3.0,3.0,Male,Single,Year 2,Never,22-23,,Satisfied,Yes
3.5,3.3333333333333335,2.0,3.5,Female,Single,Year 2,Never,22-23,,Dissatisfied,No
3.3333333333333335,2.6666666666666665,3.5,2.0,Male,Single,Year 2,Never,20-21,,Satisfied,Yes
3.6666666666666665,3.6666666666666665,2.75,4.5,Male,Single,Year 2,Never,20-21,,Very satisfied,Yes
