Cluster,gender,academic_year,age_group,degree_program,home_environment,academic_failure,faculty_environment,F1,F2,F3,F4
0,Female,Year 3,24-25,B.B.A. (Hons) in International Business,No,Three or more times,Dissatisfied,4.0,4.0,4.0,4.0
0,Female,Year 3,24-25,B.B.A. (Hons) in International Business,Yes,Once or twice,Neither satisfied nor dissatisfied,4.0,4.0,4.0,4.0
2,Female,Year 2,24-25,,Yes,Never,Satisfied,3.333333333333333,2.6666666666666665,2.5,3.0
2,Female,Year 2,24-25,,Yes,Never,Satisfied,2.5,2.0,2.5,3.0
2,Male,Year 2,22-23,,Yes,Once or twice,Satisfied,3.0,3.0,2.75,2.0
2,Male,Year 2,22-23,,Yes,Never,Satisfied,2.833333333333333,2.6666666666666665,2.75,2.0
2,Male,Year 2,22-23,,Yes,Never,Satisfied,3.5,2.6666666666666665,2.75,4.0
2,Female,Year 2,20-21,,Yes,Never,Satisfied,3.8333333333333335,2.6666666666666665,2.75,3.5
2,Male,Year 2,20-21,,Yes,Never,Satisfied,3.5,2.6666666666666665,2.5,2.5
2,Male,Year 2,22-23,,Yes,Never,Satisfied,3.333333333333333,3.0,2.75,2.0
2,Female,Year 2,20-21,,Yes,Never,Satisfied,3.333333333333333,2.6666666666666665,3.0,3.5
2,Male,Year 2,20-21,,Yes,Never,Satisfied,3.1666666666666665,2.6666666666666665,2.75,2.0
2,Male,Year 2,20-21,,Yes,Never,Satisfied,3.1666666666666665,2.6666666666666665,2.5,2.0
2,Female,Year 2,22-23,,Yes,Once or twice,Satisfied,2.0,2.6666666666666665,2.0,2.5
2,Male,Year 2,20-21,,Yes,Never,Satisfied,3.0,2.6666666666666665,2.5,2.0
2,Female,Year 2,20-21,,Yes,Never,Satisfied,3.1666666666666665,2.6666666666666665,2.5,2.0
2,Male,Year 2,20-21,,Yes,Never,Satisfied,3.1666666666666665,2.0,2.5,2.0
2,Male,Year 2,20-21,,Yes,Never,Satisfied,3.1666666666666665,2.6666666666666665,2.5,2.0
2,Female,Year 2,20-21,,Yes,Never,Satisfied,3.333333333333333,2.6666666666666665,2.5,2.0
0,Female,Year 2,22-23,,No,Once or twice,Satisfied,4.166666666666667,3.0,3.0,4.0
0,Male,Year 2,20-21,,Yes,Never,Satisfied,4.333333333333333,3.333333333333333,2.75,4.0
0,Male,Year 2,20-21,,No,Never,Satisfied,5.0,3.6666666666666665,3.0,4.0
2,Female,Year 2,20-21,,Yes,Never,Satisfied,3.5,2.6666666666666665,2.5,2.0
2,Female,Year 2,20-21,,Yes,Never,Satisfied,4.0,2.6666666666666665,2.25,3.0
0,Male,Year 2,20-21,,No,Once or twice,Satisfied,5.0,5.0,3.0,5.0
0,Male,Year 2,22-23,,No,Once or twice,Neither satisfied nor dissatisfied,5.0,4.0,4.0,5.0
0,Female,Year 2,22-23,,Yes,Once or twice,Neither satisfied nor dissatisfied,5.0,4.0,4.0,5.0
0,Male,Year 2,22-23,,No,Three or more times,Dissatisfied,5.0,4.0,4.0,5.0
0,Female,Year 2,22-23,,Yes,Once or twice,Neither satisfied nor dissatisfied,4.0,3.6666666666666665,3.75,4.0
0,Male,Year 2,22-23,,No,Three or more times,Very dissatisfied,5.0,4.0,4.0,5.0
1,Female,Year 2,22-23,,Yes,Once or twice,Satisfied,3.5,3.333333333333333,3.0,3.0
1,Female,Year 2,22-23,,Yes,Once or twice,Satisfied,3.0,3.333333333333333,3.5,3.0
1,Female,Year 2,22-23,,Yes,Once or twice,Satisfied,3.1666666666666665,3.0,3.25,2.0
1,Female,Year 2,22-23,,Yes,Never,Satisfied,3.0,4.0,3.25,3.0
1,Female,Year 2,22-23,,Yes,Once or twice,Satisfied,3.8333333333333335,4.0,3.0,2.0
1,Female,Year 2,22-23,,Yes,Never,Satisfied,3.6666666666666665,3.333333333333333,3.0,2.0
1,Female,Year 2,22-23,,Yes,Once or twice,Satisfied,3.6666666666666665,4.0,2.5,2.0
